City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
161,Camacha,33.0833,-16.3333,58.42,67,40,20.71,PT,scattered clouds
162,Sioux Lookout,50.1001,-91.917,-6.2,88,98,8.1,CA,overcast clouds
163,Takapau,-40.0333,176.35,76.19,66,97,5.37,NZ,overcast clouds
164,Provideniya,64.3833,-173.3,5.36,72,0,24.61,RU,clear sky
165,Bredasdorp,-34.5322,20.0403,63.28,75,100,4.5,ZA,overcast clouds
166,Olinda,-8.0089,-34.8553,82.13,74,40,6.91,BR,scattered clouds
167,Veliko Gradiste,44.7567,21.5136,41.05,93,8,4.14,RS,clear sky
168,Kabare,-2.4683,28.8242,60.75,94,100,0.92,CD,overcast clouds
169,Kruisfontein,-34.0033,24.7314,56.88,81,0,5.5,ZA,clear sky
170,Tsabong,-26.0217,22.401,78.24,45,1,4.36,BW,clear sky
171,Keroka,-0.7758,34.9453,54.48,94,100,1.81,KE,light rain
172,Villanueva De Cordoba,38.3228,-4.6287,33.53,44,92,2.66,ES,overcast clouds
173,Kholodnyy,62.7167,147.95,-26.82,97,84,1.16,RU,broken clouds
174,Saravan,39.7196,45.6483,20.05,69,51,6.67,AM,broken clouds
175,Qaqortoq,60.7167,-46.0333,3.7,81,100,5.35,GL,overcast clouds
176,Iqaluit,63.7506,-68.5145,-25.78,100,99,2.04,CA,overcast clouds
177,Gardelegen,52.5252,11.3952,52.81,84,100,30.91,DE,overcast clouds
178,Bathurst,-33.4166,149.5806,80.83,59,100,4.0,AU,overcast clouds
179,Carnarvon,-24.8667,113.6333,87.87,62,90,12.66,AU,overcast clouds
180,Katsuura,35.1333,140.3,41.11,40,11,10.47,JP,few clouds
181,Puyang,29.4603,119.8861,37.69,62,20,3.04,CN,few clouds
182,Katherine,-14.4667,132.2667,86.32,66,12,4.61,AU,few clouds
183,Soe,-9.8607,124.284,75.31,71,82,1.79,ID,broken clouds
184,North Platte,41.1239,-100.7654,55.11,32,0,8.01,US,clear sky
185,Iida,35.5197,137.8207,28.8,78,55,5.73,JP,broken clouds
186,Brunswick,41.2381,-81.8418,45.1,48,0,19.57,US,clear sky
187,Baculin,7.4525,126.5842,81.36,70,85,9.06,PH,overcast clouds
188,Savannah Bight,16.45,-85.85,79.0,75,11,16.84,HN,few clouds
189,Aklavik,68.2191,-135.0107,-20.97,96,6,6.24,CA,clear sky
190,Surt,31.2089,16.5887,61.93,53,28,6.64,LY,scattered clouds
191,Dikson,73.5069,80.5464,17.2,95,100,17.13,RU,light snow
192,Port Blair,11.6667,92.75,69.84,94,20,0.0,IN,mist
193,Nioro,13.35,-15.75,78.39,24,1,9.82,GM,clear sky
194,Chengde,40.9725,117.9361,12.49,62,10,3.13,CN,clear sky
195,Providencia,28.7167,-111.5833,74.86,31,0,8.16,MX,clear sky
196,Thompson,55.7435,-97.8558,-26.52,97,71,4.12,CA,broken clouds
197,Saint Anthony,45.0205,-93.218,33.85,58,0,11.5,US,clear sky
198,Chernyshevskiy,63.0128,112.4714,10.8,92,100,11.72,RU,overcast clouds
199,Port Hedland,-20.3167,118.5667,87.85,74,5,5.75,AU,clear sky
200,Luwuk,-0.9516,122.7875,76.44,92,100,3.6,ID,heavy intensity rain
201,Aksu,41.1231,80.2644,27.81,56,0,2.37,CN,clear sky
202,Fraserburgh,57.6874,-2.0184,37.78,76,41,17.09,GB,scattered clouds
203,Lompoc,34.6391,-120.4579,60.12,83,100,11.5,US,overcast clouds
204,Nome,64.5011,-165.4064,17.17,79,100,20.71,US,snow
205,Constantine,36.365,6.6147,38.61,87,0,3.44,DZ,clear sky
206,Kattivakkam,13.2167,80.3167,75.29,91,71,7.52,IN,broken clouds
207,Merauke,-8.4667,140.3333,83.03,76,100,4.07,ID,overcast clouds
208,Upata,8.0086,-62.3989,75.29,64,97,6.53,VE,overcast clouds
209,Porto Walter,-8.2686,-72.7439,70.92,100,100,1.52,BR,light rain
210,Biloela,-24.4167,150.5,86.29,40,0,3.09,AU,clear sky
211,Ayan,56.45,138.1667,-0.98,67,82,10.85,RU,broken clouds
212,Vestmannaeyjar,63.4427,-20.2734,39.49,60,0,11.48,IS,clear sky
213,Jaen,38.0,-3.5,46.17,33,100,3.85,ES,overcast clouds
